Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	916	559	61.0		
2020-04-23	918	569	62.0		
2020-04-24	923	553	59.9	74	8.0
2020-04-25	937	561	59.9	74	7.9
2020-04-26	896	530	59.2		
2020-04-27	948	524	55.3	81	8.5
2020-04-28	948	524	55.3	81	8.5
2020-04-29	979	561	57.3	81	8.3
2020-04-30	983	566	57.6	79	8.0
2020-05-01	960	581	60.5	80	8.3
2020-05-02	956	580	60.7	74	7.7
2020-05-03	940	560	59.6	72	7.7
2020-05-04	939	558	59.4	70	7.5
2020-05-05	965	595	61.7	69	7.2
2020-05-06	978	600	61.3	68	7.0
2020-05-07	963	590	61.3	66	6.9
2020-05-08	943	605	64.2	63	6.7
