Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	1446	868	60.0		
2020-04-23	1467	886	60.4		
2020-04-24	1566	915	58.4	73	4.7
2020-04-25	1555	904	58.1	72	4.6
2020-04-26	1559	893	57.3		
2020-04-27	1597	942	59.0	70	4.4
2020-04-28	1597	941	58.9	70	4.4
2020-04-29	1665	1090	65.5	76	4.6
2020-04-30	1677	1075	64.1	74	4.4
2020-05-01	1666	1062	63.7	73	4.4
2020-05-02	1660	1038	62.5	72	4.3
2020-05-03	1604	983	61.3	66	4.1
2020-05-04	1598	935	58.5	63	3.9
