Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	745	457	61.3		
2020-04-23	753	470	62.4		
2020-04-24	783	515	65.8	5	0.6
2020-04-25	784	515	65.7	5	0.6
2020-04-26	767	504	65.7		
2020-04-27	774	497	64.2	6	0.8
2020-04-28	774	497	64.2	6	0.8
2020-04-29	810	543	67.0	6	0.7
2020-04-30	810	540	66.7	6	0.7
2020-05-01	836	534	63.9	6	0.7
2020-05-02	821	541	65.9	4	0.5
2020-05-03	790	497	62.9	4	0.5
2020-05-04	820	508	62.0	4	0.5
2020-05-05	838	566	67.5	5	0.6
2020-05-06	839	576	68.7	5	0.6
2020-05-07	830	578	69.6	4	0.5
2020-05-08	838	590	70.4	5	0.6
2020-05-09	847	595	70.2	3	0.4
2020-05-10	817	553	67.7	3	0.4
2020-05-11	790	509	64.4	3	0.4
2020-05-12	805	538	66.8	4	0.5
