Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	1028	570	55.4		
2020-04-23	1032	599	58.0		
2020-04-24	1045	589	56.4	63	6.0
2020-04-25	1041	585	56.2	63	6.1
2020-04-26	1028	564	54.9		
2020-04-27	1064	600	56.4	59	5.5
2020-04-28	1070	597	55.8	59	5.5
2020-04-29	1071	623	58.2	55	5.1
2020-04-30	1069	618	57.8	57	5.3
2020-05-01	1067	604	56.6	55	5.2
2020-05-02	1049	608	58.0	53	5.1
2020-05-03	1048	588	56.1	49	4.7
2020-05-04	1038	573	55.2	51	4.9
2020-05-05	1068	596	55.8	49	4.6
2020-05-06	1066	615	57.7	47	4.4
2020-05-07	1053	622	59.1	43	4.1
2020-05-08	1051	610	58.0	42	4.0
2020-05-09	1036	616	59.5	39	3.8
2020-05-10	1034	609	58.9	41	4.0
2020-05-11	1051	606	57.7	39	3.7
2020-05-12	1045	602	57.6	40	3.8
2020-05-13	1047	626	59.8	35	3.3
2020-05-14	1048	643	61.4	34	3.2
2020-05-15	1057	627	59.3	34	3.2
2020-05-16	1048	636	60.7	34	3.2
