Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	256	153	59.8		
2020-04-23	257	153	59.5		
2020-04-24	260	169	65.0	10	3.8
2020-04-25	246	158	64.2	10	4.1
2020-04-26	246	155	63.0		
2020-04-27	245	134	54.7	13	5.3
2020-04-28	245	134	54.7	13	5.3
2020-04-29	246	153	62.2	12	4.9
2020-04-30	247	159	64.4	12	4.9
2020-05-01	259	159	61.4	15	5.8
2020-05-02	270	168	62.2	14	5.2
2020-05-03	217	114	52.5	8	3.7
2020-05-04	221	113	51.1	8	3.6
2020-05-05	264	154	58.3	11	4.2
2020-05-06	264	154	58.3	9	3.4
2020-05-07	261	155	59.4	10	3.8
2020-05-08	262	149	56.9	11	4.2
2020-05-09	262	152	58.0	13	5.0
2020-05-10	219	126	57.5	9	4.1
2020-05-11	214	118	55.1	10	4.7
2020-05-12	262	150	57.3	13	5.0
2020-05-13	260	156	60.0	12	4.6
2020-05-14	218	126	57.8	7	3.2
2020-05-15	217	121	55.8	7	3.2
2020-05-16	223	124	55.6	10	4.5
2020-05-17	222	122	55.0	9	4.1
2020-05-18	204	109	53.4	4	2.0
2020-05-19	264	160	60.6	5	1.9
2020-05-20	260	162	62.3	9	3.5
2020-05-21	263	163	62.0	9	3.4
2020-05-22	258	162	62.8	10	3.9
2020-05-23	213	119	55.9	9	4.2
