Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	1371	754	55.0		
2020-04-23	1393	748	53.7		
2020-04-24	1383	762	55.1	104	7.5
2020-04-25	1386	761	54.9	103	7.4
2020-04-26	1381	710	51.4		
2020-04-27	1389	733	52.8	88	6.3
2020-04-28	1392	731	52.5	87	6.2
2020-04-29	1388	769	55.4	75	5.4
2020-04-30	1393	771	55.3	74	5.3
2020-05-01	1408	791	56.2	74	5.3
2020-05-02	1405	806	57.4	72	5.1
2020-05-03	1415	761	53.8	68	4.8
2020-05-04	1419	780	55.0	66	4.7
2020-05-05	1396	746	53.4	57	4.1
2020-05-06	1426	772	54.1	57	4.0
2020-05-07	1421	801	56.4	58	4.1
2020-05-08	1439	810	56.3	49	3.4
