Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	4798	3061	63.8		
2020-04-23	6151	2970	48.3		
2020-04-24	4625	2988	64.6	681	14.7
2020-04-25	4558	2931	64.3	669	14.7
2020-04-26	4577	2902	63.4		
2020-04-27	4642	2887	62.2	645	13.9
2020-04-28	4807	2994	62.3	662	13.8
2020-04-29	4917	3139	63.8	602	12.2
2020-04-30	4744	3019	63.6	581	12.2
2020-05-01	4941	3114	63.0	551	11.2
2020-05-02	4935	3082	62.5	528	10.7
2020-05-03	4600	2812	61.1	471	10.2
2020-05-04	4586	2805	61.2	461	10.1
2020-05-05	4776	2966	62.1	468	9.8
2020-05-06	4762	2987	62.7	469	9.8
2020-05-07	4698	3006	64.0	459	9.8
2020-05-08	4764	3021	63.4	446	9.4
2020-05-09	4722	3012	63.8	413	8.7
2020-05-10	4617	2927	63.4	395	8.6
2020-05-11	4529	2827	62.4	383	8.5
2020-05-12	4693	2964	63.2	382	8.1
2020-05-13	4653	2943	63.2	363	7.8
2020-05-14	4632	2959	63.9	318	6.9
2020-05-15	4601	2946	64.0	317	6.9
2020-05-16	4646	2967	63.9	295	6.3
2020-05-17	4564	2853	62.5	288	6.3
2020-05-18	4448	2756	62.0	259	5.8
2020-05-19	4585	2889	63.0	277	6.0
2020-05-20	4751	3073	64.7	257	5.4
2020-05-21	4763	3086	64.8	247	5.2
2020-05-22	4537	2848	62.8	207	4.6
2020-05-23	4663	2909	62.4	212	4.5
2020-05-24	4722	3015	63.9	218	4.6
2020-05-25	4645	2909	62.6	210	4.5
2020-05-26	4750	2935	61.8	209	4.4
2020-05-27	4782	3116	65.2	193	4.0
2020-05-28	4791	3069	64.1	193	4.0
2020-05-29	4682	3022	64.5	183	3.9
2020-05-30	4716	3037	64.4	174	3.7
2020-05-31	4586	2935	64.0	168	3.7
2020-06-01	4562	2862	62.7	158	3.5
2020-06-02	4547	2841	62.5	155	3.4
2020-06-03	4679	2941	62.9	168	3.6
2020-06-04	4663	3036	65.1	156	3.3
2020-06-05	4656	3070	65.9	139	3.0
2020-06-06	4682	3071	65.6	119	2.5
2020-06-07	4575	3020	66.0	117	2.6
2020-06-08	4485	2826	63.0	113	2.5
2020-06-09	4628	2935	63.4	110	2.4
2020-06-11	4714	3055	64.8	96	2.0
2020-06-12	4714	3055	64.8	96	2.0
