Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	7030	4195	59.7		
2020-04-23	7117	4296	60.4		
2020-04-24	7186	4423	61.6	533	7.4
2020-04-25	7150	4377	61.2	529	7.4
2020-04-26	7098	4303	60.6		
2020-04-27	6974	4402	63.1	464	6.7
2020-04-28	6988	4388	62.8	464	6.6
2020-04-29	7146	4488	62.8	452	6.3
2020-04-30	7180	4520	63.0	454	6.3
2020-05-01	7141	4506	63.1	435	6.1
2020-05-02	6895	4351	63.1	383	5.6
2020-05-03	6864	4289	62.5	374	5.4
2020-05-04	6770	4289	63.4	362	5.3
2020-05-05	7113	4590	64.5	349	4.9
2020-05-06	7071	4605	65.1	350	4.9
2020-05-07	7152	4659	65.1	363	5.1
2020-05-08	7024	4564	65.0	350	5.0
2020-05-09	7065	4564	64.6	329	4.7
2020-05-10	6988	4500	64.4	318	4.6
2020-05-11	6901	4389	63.6	321	4.7
2020-05-12	7022	4518	64.3	321	4.6
2020-05-13	7322	4850	66.2	283	3.9
2020-05-14	7037	4625	65.7	273	3.9
2020-05-15	7015	4576	65.2	267	3.8
2020-05-16	7061	4654	65.9	238	3.4
2020-05-17	6986	4543	65.0	217	3.1
2020-05-18	6879	4398	63.9	213	3.1
2020-05-19	7047	4484	63.6	209	3.0
2020-05-20	6995	4676	66.8	192	2.7
2020-05-21	6987	4655	66.6	188	2.7
2020-05-22	6973	4677	67.1	179	2.6
2020-05-23	6965	4590	65.9	167	2.4
2020-05-24	6919	4555	65.8	162	2.3
2020-05-25	6590	4258	64.6	149	2.3
2020-05-26	6948	4522	65.1	153	2.2
2020-05-27	7023	4762	67.8	134	1.9
2020-05-28	6999	4803	68.6	135	1.9
2020-05-29	6976	4778	68.5	132	1.9
2020-05-30	7021	4678	66.6	131	1.9
2020-05-31	6900	4659	67.5	141	2.0
