Code	State	Population	Int Betten gesamt	Betten pro 1000000	Int Betten belegt	Int Betten belegt Prozent	Int COVID-19 Patienten	Int Betten COVID-19 Prozent
BW	Baden-Württemberg	11069500	3839	347.0	2234	58.2	457	11.9
BY	Bayern	13076700	4625	354.0	2988	64.6	681	14.7
BE	Berlin	3644800	1503	412.0	1061	70.6	143	9.5
BB	Brandenburg	2511900	1055	420.0	604	57.3	51	4.8
HB	Bremen	683000	260	381.0	169	65.0	10	3.8
HH	Hamburg	1841200	923	501.0	553	59.9	74	8.0
HE	Hessen	6265800	2620	418.0	1676	64.0	213	8.1
MV	Mecklenburg-Vorpommern	1609700	783	486.0	515	65.8	5	0.6
NI	Niedersachsen	7982400	2856	358.0	1576	55.2	163	5.7
NW	Nordrhein-Westfalen	17932700	7186	401.0	4423	61.6	533	7.4
RP	Rheinland-Pfalz	4084800	1383	339.0	762	55.1	104	7.5
SL	Saarland	990500	655	661.0	316	48.2	60	9.2
SN	Sachsen	4077900	1566	384.0	915	58.4	73	4.7
ST	Sachsen-Anhalt	2208300	1159	525.0	672	58.0	30	2.6
SH	Schleswig-Holstein	2896700	1082	374.0	568	52.5	28	2.6
TH	Thüringen	2143100	1045	488.0	589	56.4	63	6.0
DE	Deutschland	83149300	32540	391.0	19621	60.3	2688	8.3
