Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	1381	976	70.7		
2020-04-23	1497	1009	67.4		
2020-04-24	1503	1061	70.6	143	9.5
2020-04-25	1484	1044	70.4	144	9.7
2020-04-26	1483	994	67.0		
2020-04-27	1486	1017	68.4	138	9.3
2020-04-28	1531	1043	68.1	139	9.1
2020-04-29	1508	1045	69.3	139	9.2
2020-04-30	1524	1065	69.9	128	8.4
2020-05-01	1529	1075	70.3	125	8.2
2020-05-02	1535	1077	70.2	122	7.9
2020-05-03	1511	1050	69.5	124	8.2
2020-05-04	1508	1033	68.5	125	8.3
2020-05-05	1517	1084	71.5	119	7.8
2020-05-06	1541	1099	71.3	119	7.7
2020-05-07	1527	1100	72.0	120	7.9
2020-05-08	1526	1108	72.6	129	8.5
2020-05-09	1515	1078	71.2	110	7.3
2020-05-10	1525	1064	69.8	109	7.1
2020-05-11	1506	1067	70.8	103	6.8
2020-05-12	1622	1178	72.6	103	6.4
2020-05-13	1631	1106	67.8	100	6.1
2020-05-14	1553	1128	72.6	95	6.1
2020-05-15	1548	1102	71.2	87	5.6
