federalstate,infections,deaths,date,newinfections,newdeaths
Baden-Württemberg,50,0,2020-03-04,,
Bavaria,48,0,2020-03-04,,
Berlin,7,0,2020-03-04,,
Brandenburg,1,0,2020-03-04,,
Bremen,3,0,2020-03-04,,
Hamburg,3,0,2020-03-04,,
Hesse,12,0,2020-03-04,,
Lower Saxony,7,0,2020-03-04,,
Mecklenburg-Western Pomerania,4,0,2020-03-04,,
North Rhine-Westphalia,115,0,2020-03-04,,
Rhineland-Palatinate,7,0,2020-03-04,,
Saarland,1,0,2020-03-04,,
Saxony,1,0,2020-03-04,,
Saxony-Anhalt,0,0,2020-03-04,,
Schleswig-Holstein,2,0,2020-03-04,,
Thuringia,1,0,2020-03-04,,
Baden-Württemberg,73,0,2020-03-05,23,0
Bavaria,70,0,2020-03-05,22,0
Berlin,13,0,2020-03-05,6,0
Brandenburg,1,0,2020-03-05,0,0
Bremen,3,0,2020-03-05,0,0
Hamburg,5,0,2020-03-05,2,0
Hesse,14,0,2020-03-05,2,0
Lower Saxony,18,0,2020-03-05,11,0
Mecklenburg-Western Pomerania,4,0,2020-03-05,0,0
North Rhine-Westphalia,181,0,2020-03-05,66,0
Rhineland-Palatinate,8,0,2020-03-05,1,0
Saarland,1,0,2020-03-05,0,0
Saxony,1,0,2020-03-05,0,0
Saxony-Anhalt,0,0,2020-03-05,0,0
Schleswig-Holstein,7,0,2020-03-05,5,0
Thuringia,1,0,2020-03-05,0,0
Baden-Württemberg,96,0,2020-03-06,23,0
Bavaria,117,0,2020-03-06,47,0
Berlin,19,0,2020-03-06,6,0
Brandenburg,2,0,2020-03-06,1,0
Bremen,4,0,2020-03-06,1,0
Hamburg,11,0,2020-03-06,6,0
Hesse,16,0,2020-03-06,2,0
Lower Saxony,18,0,2020-03-06,0,0
Mecklenburg-Western Pomerania,5,0,2020-03-06,1,0
North Rhine-Westphalia,329,0,2020-03-06,148,0
Rhineland-Palatinate,10,0,2020-03-06,2,0
Saarland,2,0,2020-03-06,1,0
Saxony,2,0,2020-03-06,1,0
Saxony-Anhalt,0,0,2020-03-06,0,0
Schleswig-Holstein,7,0,2020-03-06,0,0
Thuringia,1,0,2020-03-06,0,0
Baden-Württemberg,170,0,2020-03-07,74,0
Bavaria,134,0,2020-03-07,17,0
Berlin,28,0,2020-03-07,9,0
Brandenburg,2,0,2020-03-07,0,0
Bremen,4,0,2020-03-07,0,0
Hamburg,13,0,2020-03-07,2,0
Hesse,17,0,2020-03-07,1,0
Lower Saxony,19,0,2020-03-07,1,0
Mecklenburg-Western Pomerania,5,0,2020-03-07,0,0
North Rhine-Westphalia,373,0,2020-03-07,44,0
Rhineland-Palatinate,13,0,2020-03-07,3,0
Saarland,3,0,2020-03-07,1,0
Saxony,4,0,2020-03-07,2,0
Saxony-Anhalt,0,0,2020-03-07,0,0
Schleswig-Holstein,8,0,2020-03-07,1,0
Thuringia,2,0,2020-03-07,1,0
Baden-Württemberg,182,0,2020-03-08,12,0
Bavaria,172,0,2020-03-08,38,0
Berlin,40,0,2020-03-08,12,0
Brandenburg,4,0,2020-03-08,2,0
Bremen,4,0,2020-03-08,0,0
Hamburg,13,0,2020-03-08,0,0
